Specimen #,Location,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes,,,,,,
83009,Beacon Food Forest,B,8/24/16,EHB,3.2218,19,N,Nipple,,,,,,,,,,,,,,,,,,,
24509,Rainier Beach Urban Farm and Wetland,B,8/24/16,EHB,3.7025,#N/A,N,Nipple,,,,,,,,,,,,,,,,,,,
71150,Beacon Food Forest,B,8/24/16,EHB,6.3097,19,N,Nipple,,,,,,,,,,,,,,,,,,,
5680,Rainier Beach Urban Farm and Wetland,B,8/26/16,EHB,2.2226,#N/A,N,Catfaced,,,,,,,,,,,,,,,,,,,
71800,Sol to Seed,B,9/16/16,EHB,6.72,9,N,Nipple/pinched end,,,,,,,,,,,,,,,,,,,
18445,Sol to Seed,B,9/16/16,EHB,4.6207,9,Y,None,,,,,,,,,,,,,,,,,,,
57523,Sol to Seed,B,9/17/16,EHB,2.3417,9,N,Catfaced,,,,,,,,,,,,,,,,,,,
24927,Camp Korey,B,9/17/16,EHB,3.2467,10,N,Catfaced,,,,,,,,,,,,,,,,,,,
12504,Camp Korey,B,9/17/16,EHB,5.4695,10,N,Small catface,,,,,,,,,,,,,,,,,,,
12297,Wobbly Cart,B,9/17/16,EHB,8.3194,9,Y,None,,,,,,,,,,,,,,,,,,,
71574,Sol to Seed,B,9/20/16,EHB,2.3949,9,N,Catfaced,,,,,,,,,,,,,,,,,,,
62566,Rising River,B,9/21/16,EHB,5.0366,9,N,Small dents,,,,,,,,,,,,,,,,,,,
14211,Rising River,B,9/23/16,KB,5.1208,9,N,Dents (minor),,,,,,,,,,,,,,,,,,,
74122,Rising River,B,9/26/16,KB,2.057,9,N,Denting throughout,,,,,,,,,,,,,,,,,,,
31447,Maa nyei lai ndeic,B,9/27/16,KB,9.3444,#N/A,Y,Uniform plump shape,,,,,,,,,,,,,,,,,,,
90470,Beacon Food Forest,B,9/27/16,KB,5.8911,19,N,Minor dent on bottom,,,,,,,,,,,,,,,,,,,
21739,Beacon Food Forest,B,9/27/16,KB,8.4815,19,Y,Nice uniform shape,,,,,,,,,,,,,,,,,,,
7386,Camp Korey,B,9/27/16,KB,2.3739,10,N,"Mushy, oblong fat bottom, skinny top",,,,,,,,,,,,,,,,,,,
68328,Wobbly Cart,B,9/27/16,KB,0.4901,9,N,Small and catfaced,,,,,,
19176,Rising River,B,9/27/16,KB,0.7121,9,N,"Heart shaped, small",,,,,,
46553,Maa nyei lai ndeic,B,9/28/16,KB,5.4113,#N/A,N,Sourfaced with denting,,,,,,
31447,Maa nyei lai ndeic,B,9/28/16,KB,5.398,#N/A,N,Minor denting (2 of 2),,,,,,
21174,Beacon Food Forest,B,9/28/16,KB,4.259,19,N,Catfaced and dented,,,,,,
21739,Beacon Food Forest,B,9/29/16,KB,3.3104,19,Y,Normal small (2 of 2),,,,,,
18700,Rainier Beach Urban Farm and Wetland,B,10/1/16,EB,5.291,#N/A,N,Catface,,,,,,
66057,New Holly,B,10/1/16,EB,5.3333,13,N,Small dent,,,,,,
89613,Harmony Fields,B,10/1/16,EB,7.6098,11,Y,-,,,,,,
8341,Rainier Beach Urban Farm and Wetland,B,10/1/16,EB,4.9765,#N/A,N,Dents major,,,,,,
15909,Harmony Fields,B,10/2/16,EB,6.6662,11,N,Linear dent in side,,,,,,
15909,Harmony Fields,B,10/2/16,EB,8.0842,11,N,Linear dent in side,,,,,,
34329,Rainier Beach Urban Farm and Wetland,B,10/3/16,EB,1.3608,#N/A,N,"Catface, pinched tip",,,,,,
49215,Harmony Fields,B,10/3/16,EB,6.4107,11,N,Small dent,,,,,,
54929,Beacon Food Forest,B,10/3/16,EB,1.2332,19,N,Catface,,,,,,
14306,New Holly,B,10/4/16,EB,4.4939,13,N,Small catface,,,,,,
8412,Riversong Farm,B,10/4/16,EB,7.4243,10,Y,-,,,,,,
17944,Riversong Farm,B,10/4/16,EB,4.8535,10,N,Catface,,,,,,
94159,Riversong Farm,B,10/5/16,EB,9.1173,10,N,Catface,,,,,,
5790,GRuB,B,10/5/16,EB,10.1767,10,N,Catface,,,,,,
99979,GRuB,B,10/6/16,EB,9.0798,10,N,Dents,,,,,,
99979,GRuB,B,10/6/16,EB,3.0156,10,Y,-,,,,,,
43235,GRuB,B,10/6/16,EB,9.3381,10,N,Nipple,,,,,,
74427,Wendell Berry/ Urban Futures Farm,B,10/6/16,EB,5.2375,#N/A,N,Catface,,,,,,
30233,Wendell Berry/ Urban Futures Farm,B,10/6/16,EB,6.2304,#N/A,N,Small catface,,,,,,
81753,Riversong Farm,B,10/6/16,EB,8.2024,10,Y,-,,,,,,
84195,Wendell Berry/ Urban Futures Farm,B,10/6/16,EB,7.5054,#N/A,Y,-,,,,,,
74075,Maa nyei lai ndeic,B,10/7/16,EB,2.1467,#N/A,N,Catface,,,,,,
2376,Riversong Farm,B,10/9/16,EB,4.0517,10,Y,-,,,,,,
70591,GRuB,B,10/9/16,EB,1.114,10,N,Split,,,,,,
63807,GRuB,B,10/9/16,EB,10.4825,10,N,Nipple catface,,,,,,
89613,Harmony Fields,B,10/13/16,EB,5.8052,11,N,Never ripened before becoming soft,,,,,,
14167,The Evergreen State College,B,10/14/16,EB,10.8611,#N/A,Y,-,,,,,,
98847,The Evergreen State College,B,10/15/16,EB,12.1905,#N/A,Y,-,,,,,,
38910,Caliope,B,10/15/16,EB,7.3335,#N/A,N,Dent and dessicated,,,,,,
45771,Steel Wheel,B,10/21/16,EB,10.593,10,Y,-,,,,,,
30233,Wendell Berry/ Urban Futures Farm,B,10/21/16,EB,0.3827,#N/A,N,One receptacle fertilized,,,,,,
69940,Steel Wheel,B,10/21/16,EB,11.1559,10,N,Dents,,,,,,
69663,Caliope,B,10/21/16,EB,5.8857,#N/A,N,Catface,,,,,,
69940,Steel Wheel,B,10/24/16,EB,9.4628,10,N,Catface,,,,,,
62465,The Evergreen State College,B,10/24/16,EB,5.3511,#N/A,N,Side catface,,,,,,
38910,Caliope,B,10/24/16,EB,5.7755,#N/A,Y,-,,,,,,
45576,Present Tense,B,10/24/16,EB,7.8538,7,Y,-,,,,,,
72828,Greenhouse,H,8/2/16,EHB,10.3758,#N/A,N,Pinched End of Fruit,,,,,,
29071,Greenhouse,H,8/3/16,EHB,6.9303,#N/A,N,Pinched Top of Fruit,,,,,,
29071,Greenhouse,H,8/3/16,EHB,5.2668,#N/A,N,Pinched End of Fruit,,,,,,
39606,Greenhouse,H,8/3/16,EHB,5.2353,#N/A,N,Pinched End of Fruit,,,,,,
72828,Greenhouse,H,8/3/16,EHB,8.2267,#N/A,Y,None,,,,,,
1880,Greenhouse,H,8/4/16,EHB,4.4823,#N/A,Y,None,,,,,,
24957,Greenhouse,H,8/5/16,HH,1.2335,#N/A,N,Burn (and small),,,,,,
61807,Greenhouse,H,8/6/16,HH,2.0313,#N/A,N,Burn,,,,,,
48681,Greenhouse,H,8/6/16,HH,3.588,#N/A,N,Burn and pinched end of fruit,,,,,,
1880,Greenhouse,H,8/7/16,HH,7.7031,#N/A,N,Burn and dented,,,,,,
44078,Greenhouse,H,8/9/16,HH,7.8362,#N/A,N,Burn and dented,,,,,,
1880,Greenhouse,H,8/11/16,HH,4.9728,#N/A,Y,None,,,,,,
83088,Greenhouse,H,8/12/16,HH,2.3965,#N/A,N,Fruit Dented and Pinched,,,,,,
83088,Greenhouse,H,8/12/16,HH,3.824,#N/A,N,Burn,,,,,,
19706,Greenhouse,H,8/12/16,HH,2.753,#N/A,N,Burn,,,,,,
19706,Greenhouse,H,8/12/16,HH,3.1721,#N/A,N,Burn,,,,,,
19706,Greenhouse,H,8/12/16,HH,5.1998,#N/A,N,Burn and pinched end of fruit,,,,,,
61807,Greenhouse,H,8/13/16,HH,6.6901,#N/A,N,Burn,,,,,,
